用户,评论内容,点赞数,评论时间,观点分类
正太拾贰,没喝酒也得说成喝酒了，就算是公关花钱砸也得砸出酒驾来。如果不变相推责任。小米车不得凉透了嘛！普通人跟资本没办法抗衡！要么油车要么特斯拉吧！,4,2025-10-17 00:23:38,支持
Nishuozs,三元锂的电芯别想他安全到哪去，单个电芯稍微一扎立马爆燃,3,2025-10-17 23:51:05,中立
亚索等你我在等风,酒驾刑法会给他惩罚，而不是电子门把手,2,2025-10-18 21:21:34,支持
龙晶风味大善人,累总又去健身了,5,2025-10-19 13:16:43,支持
齐天大善,你不要号啦,0,2025-10-19 21:25:56,反对
心灵修叔,现在有些车把机械把手做成拉线藏在储物格里还带盖子盖上，请问这是给人用呢还是给人用呢。,0,2025-10-19 21:17:25,反对
AI丷以相,听说电池有防弹材料包裹的，防弹西瓜从5楼扔下去都没裂开,0,2025-10-19 21:16:00,支持
lpzhawei,150以上基本活不了,0,2025-10-19 19:41:35,中立
lpzhawei,人的问题,0,2025-10-19 19:40:03,支持
雨晨沧海,车型定向客户,0,2025-10-19 19:19:52,中立
丶Starseeker,安全只有弹幕看的那么重要，那卖的好的应该是volvo[喜极而泣],0,2025-10-19 18:52:57,支持
凡人李季,对于车企，如果出了事故基本上都要掉股价的太难了,0,2025-10-19 18:28:47,支持
我一定要活五十亿年,半隐藏才是最好的。,0,2025-10-19 18:09:23,支持
米圣十一,怎么老是你 好欧德啊幼？,0,2025-10-19 16:40:25,支持
快乐的BBV,车的问题跟人的问题要分开看,0,2025-10-19 13:01:43,支持
69930484139_bili,劳斯莱斯闪灵不评价一下？,0,2025-10-19 12:53:30,反对
梦回饭前,这哥们三观太正了，虽然他说的有的事情有点想当然，有点极端。但是说实话看视频要带脑子。带着脑子看他说的事情能从其中看到很多有用的东西,0,2025-10-19 12:01:28,支持
三百张大饼,某些人去年m7可不是这么说的,0,2025-10-19 03:01:12,支持
uglutomato,律师函,0,2025-10-18 23:46:20,中立
清醒无情,都是一个问题，门打不开,0,2025-10-18 23:32:07,支持
蹦跶白兔子,因为电池硬，所以支持电池的钢板都省了，直接坐在电池上开啊，电池上就隔了一层隔音棉，连个底盘都没有的玩意,0,2025-10-18 21:40:09,支持
肥肥肥鯮,就问你快不快吧,0,2025-10-18 21:08:00,支持
RD35IGN,车本来就有问题,0,2025-10-18 17:15:32,支持
汉堡宝IN悉尼,超哥，你去做新能源车，我第一个买[支持],0,2025-10-18 16:59:54,支持
轨轨你可真是个人才啊,分析一下成都问界m8呀,0,2025-10-18 15:35:04,中立
DXC工作室,车门为什么打不开？只能说小米的玻璃比问界硬[doge_金箍],0,2025-10-18 13:10:30,支持
Asuka_yy,点进来之前-「详解」，点进来之后-「不知道」,0,2025-10-18 10:48:54,反对
梵高大鬧天宮,小米：你直接打我名字得了,0,2025-10-18 10:42:06,支持
GGZETA,隐藏门把手且外部没有机械式开关的车我不会考虑,0,2025-10-18 10:37:46,支持
50路906872,我哥就是今天酒驾被抓了，只想着开到大路上让她爱人开，结果一转弯就遇到查酒驾的了,0,2025-10-18 04:27:03,支持
狐舒宝灬,说再多也无用，都是一样喝酒一样开车[滑稽],0,2025-10-18 03:23:54,支持
超人爱吃瓜,就说一句:十年内别买电车，等迭代稳定了再买。,0,2025-10-18 02:47:34,反对
大蛋队长,这国标跟闹着玩似的,0,2025-10-18 02:53:13,中立
没昵称balabala,竟然有人觉得这人死了很可惜，酒驾飙车死有余辜大快人心了只能说[OK][OK]，这幸亏是追尾把自己害死了，撞到人就是前几天聊城那个惨案了,0,2025-10-18 02:32:47,中立
温柔不给爱情,极氪汽车出事就可以自动打开车门，这个技术学不会？,0,2025-10-18 00:59:21,反对
q哲学与人生q,200公里车身那么完整厉害了,0,2025-10-18 00:35:05,中立
假少爷,信国标要求速度了吗？？国标要求的是任何速度下吗？,0,2025-10-18 00:20:30,支持
艾萌嗷呜,和商人讲良心[doge],0,2025-10-18 00:11:15,中立
周瑜看小桥流水_,目前好像没有直接说明机械钥匙必须存在的国标，但是有佐证 我记得有个大概叫 汽车防盗系统的 里面表明说，汽车必须具备 1，人工手动可搬动的结构来打开车门 2，该结构无需电力供应也能运行 大概是这样,0,2025-10-18 00:03:34,支持
jjzz67,树大招风，换其他车啥事没有。,0,2025-10-17 23:55:02,支持
安追爱咪根,三观好正,0,2025-10-17 22:56:32,支持
风流倜傥曹孟德,有一次在我家附近，一天之内在同一个地方，两辆电车磕到底盘电池包受损导致爆燃，司机都差点没逃出来，都上了我们当地新闻,0,2025-10-17 22:48:48,支持
凸霸波尔蹦凸,都有问题。。。,0,2025-10-17 22:11:01,支持
皆为虚妄_,[妙啊],0,2025-10-17 22:05:19,中立
谁又关心谁,还好驾驶员没受伤,0,2025-10-17 21:20:12,支持
每天记得喝4杯水,有，我四驱的都经历过打滑，真的吓人,0,2025-10-17 21:21:47,支持
于北辰将军,前大灯没碎，车头没有溃缩，机盖完整，ab柱没有形变，安全气囊没弹，应该是车连续翻滚直到停下，这人在车内晃得都似了。,0,2025-10-17 21:16:55,支持
彃哩彃哩彈幕網,人的问题和车无关,0,2025-10-17 21:12:33,支持
申鹤我名字哪里不宜,买油车就完事了,0,2025-10-17 20:56:00,反对
祥瑞饕餮,门打不开和起火，跟他喝不喝酒超速不超速没啥关系,0,2025-10-17 19:29:19,反对
weiyiyier,三个女孩那次车门是没打开的吧，我看网上残骸照片车门确实是关着的,0,2025-10-17 19:22:16,支持
苏州热成狗,捞一捞丝法官的事情吧，大多数人已经忘了,0,2025-10-17 19:07:33,支持
迪拜古天乐,雷老板都学学，人家坐车这一行不到特别重大问题的民众都看不到的[doge]你不去取取经,0,2025-10-17 18:59:14,支持
花花华华和瓜瓜,不对啊，怎么小米汽车出事就收不到短信呢,0,2025-10-17 18:53:41,中立
老师呀我太想进步了,这不得买个der啊？,0,2025-10-17 18:31:55,中立
鸽深入耳,我想两个问题，哪位有脑子的来回答下。 第一个，小米车所有的车祸加起来有多少？这里面有几例是打不开门的？有几例是起火的？如果只有少量的起火和打不开门，有没有可能就只是个概率问题？ 第二个，这个地球上有哪家车企（包括油车车企）敢打包票他们的车出车祸车门一定能打开？一定不会起火？如果不敢保证是不是就是设计有问题？,0,2025-10-17 18:10:35,支持
41885335658_bili,敬畏速度≠龟速,0,2025-10-17 18:09:36,中立
神秘奶,车也有问题。门玻璃质量太好了了。建议换成塑料的,0,2025-10-17 17:54:02,支持
人间gai溜子_,后面背景布是什么车,0,2025-10-17 17:41:19,支持
woshiwc007,还是蔚来好，至少安全[OK],0,2025-10-17 17:40:44,反对
MWDMZ,酒后驾驶也不至于把自己烧死吧？太燃了吧？[热],0,2025-10-17 17:39:28,反对
瓜西西大,因为小爱同学判定酒驾，所以电池直接爆炸车门焊死，没有复活的风险[难过][doge]（狗头保命）,0,2025-10-17 17:34:39,支持
葵海冰岛蕾哥,其实按我理解这种事就是他人把自己作死的。,0,2025-10-17 17:26:57,支持
Chin义无反顾,如果按照那个火势，人都碳化了怎么检测出酒驾？所以官方说涉嫌，给自己留了个梯子。,0,2025-10-17 17:23:04,支持
西瓜爱吃瓜XGACG,小米这个车，依然是两面性。对小米来说到处是好处。为什么说高端成了，当年有人要嘎腰子买iPhone，现在有人要盲贷买车，都是那帮精神小伙。哇，马力真的大。哇，真的帅。目标直指容易冲动消费的部分年轻人，特别是，半夜街头开鬼火的那一群。法治意识？交通安全意识？在他们看来那是个屁。车安不安全？他不懂也不关心。,0,2025-10-17 17:13:53,反对
恼人的绅士,有统计撞击时速100码，死亡率是99.99% 多半直接死里面了 。,0,2025-10-17 17:12:28,中立
微凉负氧不爱赶走,汽车像电瓶车那样，设计软件限速装置。并且底盘不许省略防撞钢板,0,2025-10-17 16:56:55,反对
别动我仙女姥姥,想找个游戏搭子什么游戏都可以，一起打打游戏，有时候一个人玩游戏太无聊了，友谊第一，游戏第二，开心娱乐就好,0,2025-10-17 16:15:28,中立
梦VS无限神奇,小米车要是卖的一般，网络就不会有那么多愚蠢的言论了,0,2025-10-17 16:13:56,支持
萌丶梦蝶,车门打不开是因为小电瓶撞出问题了，加上车门是全电开关，没有备用机械锁造成的吧，那么可以理解成任何没有机械锁的电车都会有这个安全隐患，我目前对电车还是没太多好感的,0,2025-10-17 16:10:29,支持
冰蓝霜冻,安全技术要求概括下来就是“车门把手要能开车门”…[热词系列_啊?],0,2025-10-17 15:51:44,反对
2个通辽汗国的市民,第一这个小米汽车的门把手是电动的。 第二网上说小米汽车的芯片是消费级的在某些情况下会故障。 第三小米汽车在一开始就是宣传汽车好看是第一位的，有视频采访雷军为证[笑哭]最近军开始提安全了。 第四，上次也是小米三月份还是四月份三个女大学生死亡也是车门打不开自燃，没几天上面就发文件整顿智驾了忽略了车门问题这次估计要整顿门的问题了。,0,2025-10-17 15:34:57,支持
海淀萨维卡斯,说得真好,0,2025-10-17 15:09:59,支持
菘霔,都烧了，还能查出酒驾，那很厉害了[冻鳗高手],0,2025-10-17 14:15:02,反对
怒米团,时至今日，衣食住行这四个字还是头等大事，搞不好会出事的,0,2025-10-17 13:15:38,支持
怒米团,超哥看事件三观真正，我也是一样的看法。,0,2025-10-17 12:58:17,支持
Mes_Amis,为啥用电子的？因为机械门把手贵[吃瓜],0,2025-10-17 12:27:15,中立
杪夏冰沝,水平是高啊，钱花的值,0,2025-10-17 12:25:55,支持
幻想第二大师,车门一定要能打开✍️,0,2025-10-17 12:17:35,反对
让蛋子再飞一会儿,超哥，听了你的节目，我便秘好了！给吓得。,0,2025-10-17 12:07:22,支持
一咬千刃花_,还好当时小米抢的人多，我懒得等，买了c,0,2025-10-17 11:51:02,支持
达拉斯发生,酒肉朋友，谁管你生死,0,2025-10-17 11:49:46,中立
轻舒云,经典,0,2025-10-17 11:45:38,中立
贰贰柒,su7ulrta作为小米最贵的车，配置也应该是最好的，我现在好奇的是，按照其中之一说法说车主严重超速到160，甚至有人说是200以上，那撞击同向车辆之后，又跨越绿化带飞到对向车道，整车结构还能保持的如此完整，安全气囊也没弹出，这是为什么？那如果速度没有那么快，理论上是不是属于触发aeb的范围之内，那aeb有没有触发呢？在车身结构如此完好的情况下，为什么电池烧的如此之快，为什么车门打不开呢？感觉这事情不管怎么想都全是疑点啊[辣眼睛],0,2025-10-17 11:38:38,支持
巨猾爱吃肉,可能因为车门也喝酒了，所以没打开,0,2025-10-17 11:24:10,支持
明日吃香瓜,最后一期了 且看且珍惜[保佑],0,2025-10-17 11:09:52,中立
东法岁,每项新规定都有教训，不过他们是规定的诱因，尝试新事物的代价而已,0,2025-10-17 10:53:36,支持
好运道VVVVV,所有车企应急开关都应该设置成大红色，显著,0,2025-10-17 10:18:39,反对
12431331,能省则省 是这样的[白荆回廊_期待],0,2025-10-17 09:54:20,支持
hold住,关键时刻门打不开就有问题，其他不说,0,2025-10-17 09:33:16,支持
风163,其实其他车企很多都是有机械结构的，只有小米没有，有也是在车内,0,2025-10-17 08:51:20,支持
犇烎,可以把车上的枕头卸下来，当锤子敲，用金属部分。,0,2025-10-17 07:56:26,支持
albb201707,你不知道。不敢说吧。啥也不说做什么自媒体,0,2025-10-17 06:06:33,反对
暮色沢,https://b23.tv/BV1Kc93YnEnt,0,2025-10-17 03:50:24,中立
浪漫永恒的Elysia,其实我感觉su7这种半隐藏门把手里面有微动开关，然后把手部分也是一个可以直接拉动的机械开关，这是我觉得门把手很完美的形态了。可惜它没有[吃瓜],0,2025-10-17 03:07:36,反对
冲满爱心,没关注车过，主要看些社会新闻，现在我这个圈外人对车的理解就只剩下电车和油车，还有小米车，特斯拉都好久没上新闻了，销声匿迹的我把它划到电车里面去,0,2025-10-17 01:55:03,支持
我妻八重樱,门把手一定要能开门,0,2025-10-17 01:47:18,反对
ku不出来,哎，结果就是车不好卖，死的是车企，车企肯定宁可死的人消费者，再花钱来解决问题咯。没有强有力的法规政策，没有监督，资本都会无序扩张的,0,2025-10-17 01:31:43,支持
诗和影,人没有丝毫的问题！撞击时车头完好，连车牌都完好。百分之一万是车的问题！,0,2025-10-17 00:58:12,支持
余身只为你,我喜欢油车[呲牙][呲牙][呲牙],0,2025-10-17 00:41:21,中立
炸楠哎呦嘻,小米的slogan好像就是为发烧而生吧。这真是少有的知行合一的企业了。,0,2025-10-17 00:22:06,支持
伏天的山顶风,超哥，你说的速度和安全第一这两点我用军儿的话来反驳你。军儿说速度是一样信仰，军儿说好看排在第一位。就这个意思吧。,0,2025-10-17 00:01:56,中立
L采薇南山,化学特性决定了三元锂活性更大,0,2025-10-16 23:44:56,中立
Bustonowhere,我的第一部手机就是小米4，后面关于小米的东西我都不会买。,0,2025-10-16 23:00:24,支持
北港Lacie,说实话家用车不不需要那么大马力那么快提速那么快冉少,0,2025-10-16 22:57:40,反对
括任洒,小米几个大案好像都没有结果。,0,2025-10-16 22:28:57,支持
Lem0N_4c1D,车头没烂，机盖几乎没变形，气囊没看出来爆，为什么会烧,0,2025-10-16 22:21:01,支持
烤肉大佬233,这车内起火，不是喝酒了吗，酒点着的呗[好猫坏猫都是猫_霸总思索],0,2025-10-16 22:21:11,支持
初生王中王,当年特斯拉也是这个待遇，过几年的小米你们求之不得,0,2025-10-16 22:10:00,支持
自由寧,为超哥强烈点赞！[支持][支持][支持],0,2025-10-16 22:09:05,支持
Maxyi7,安全驾驶是最关键的,0,2025-10-16 21:22:19,支持
就爱吃咸粽子,哥们，你什么时候能瘦到头像那样,0,2025-10-16 21:07:06,中立
霜QU,电池起火的话，看现场图片感觉撞击程度不够。应该是关键高压部件进水引起的。最近不是很多小米车主吐槽摄像头有水汽吗。我怀疑电池包防水做的不够好。,0,2025-10-16 21:05:35,支持
我是秦大大,酒驾，弄死自己，仅此而已。没撞到别人就是天大的好事。保不齐哪天撞到无辜的路人。这种人，法律没法制裁，只能天收。,0,2025-10-16 20:54:40,支持
执念不过尔尔,从刚开始造车就在吹它的门把手，一直在投流量,0,2025-10-16 20:49:58,支持
无情去旅行,那个地库朋友圈还有路上飙车那个视频能确定就是烧的那一辆吗？？,0,2025-10-16 20:40:29,中立
包豪斯校长,警方说是涉嫌，咋在你口里就是喝酒了呢？,0,2025-10-16 20:18:11,支持
净妙明,幸亏我摇不到号，买不起车,0,2025-10-16 20:15:45,支持
若我是猫,所以你这深度分析了啥,0,2025-10-16 20:08:46,中立
三块五毛QAQ,其实所有的问题归根结底就只有一点门把手的问题，如果门把手加入了机械结构而不是纯电动的，那小米在这件事情里面可以摘的一干二净，首先酒驾，然后超速，主责肯定是在司机身上，但是司机主责不代表他该死，如果车门是传统机械结构的，哪怕是因为形变而无法打开那也是物理学的问题，跟车子没关系，哪怕电池起火了，在这种车速下，你别说电车油车燃的视频也很多，在小米汽车上市之前就已经有不少因为门把手打不开而导致人命的事故，那小米还这么头铁的采用了纯电动的结构，现在出了事情被大家骂股价跳水就好好的受着。当然这件事情不止小米，还有其他一堆使用纯电动门把手的厂商，以后出了事被群起而攻之也是活该。,0,2025-10-16 19:46:40,支持
特里同i,这速度撞了打不开正常，但是踏马好像没看到安全气囊才是最骚的,0,2025-10-16 19:44:40,支持
望你眼睛有彩虹,我感觉车门打不开不全是电子门把手的问题吧，之前交通事故视频里好多门都打不开，当然肯定要考虑这些细节，才能更加安全。还有一看到起火的问题，我就想到了保罗沃克，大家还是要注意安全。,0,2025-10-16 19:24:32,支持
XRAY3701,语言表达满分啊😯,0,2025-10-16 19:11:30,中立
钱黑土,还没吃饱啊超哥,0,2025-10-16 18:59:51,支持
蔡小鱼0414,骨灰级米粉[doge_金箍],0,2025-10-16 18:59:27,中立
92岁在线性感,超哥，奇瑞风云T8 130豪华版 11.5万落地值得买吗,0,2025-10-16 18:50:00,反对
大暖也躁动,亏了是酒驾！这次雷总又逃过一劫[doge_金箍],0,2025-10-16 18:49:28,支持
艾莎女王_Elsa,有些东西就改用传统的设计，不要去过分追求什么技术创新。美国大选投票都坚持现场手写，然后人工计票，这都是有道理的,0,2025-10-16 18:37:05,支持
superfantong,雪某的问题[星星眼][星星眼][星星眼],0,2025-10-16 18:25:35,支持
布莱克曼114514,我还是喜欢以前的机械把手，遇见这种事只要车门没变形就算锁上了给玻璃敲碎打开锁也能开门,0,2025-10-16 18:06:50,支持
nickliljh,小问，小米内部没有机械备用把手吗？特斯拉前排的把手里头是可以直接朝上掰开的机械备用开关的，日常是按键，破窗里头一拉就得了. 有没有小米车主来说说？,0,2025-10-16 18:02:04,支持
随你牛,我开了接近10年车 开车途中没锁国车,0,2025-10-16 17:36:42,支持
大炮轰傻嘉,所以别买隐藏门把手,0,2025-10-16 17:36:26,反对
老乡牛来了,那咋了[doge_金箍],0,2025-10-16 17:15:03,中立
是吱吱诶_,车辆本身设计为了什么科技感已经留了很多安全隐患问题了。 电车油车不说，车门变形本来就不容易开门，如果车门变形的基础上再加上隐藏门把手，那不就是补刀么。 电车的技术提升的快，目前还做不到100%的绝对安全，油车这么多年了也做不到。 固态电池出现如果能避免电池成为起火点，或者避免电池成为助燃材料，那么受益最大的还是油电混的车(不是增程)，毕竟解决了油电混的纯电续航短的根本问题，里程数能翻一倍多，就晓得增程一无是处了[笑哭],0,2025-10-16 17:07:07,支持
ChrisJerico,都甩尾了还继续超速...恐怕平时经常甩尾都习惯了。一般人甩一次酒都吓醒了,0,2025-10-16 16:32:48,中立
流青,一般电机那里有拉链可以手动拉上去的,0,2025-10-16 16:14:01,支持
流青,因为很多只是直观的知道速度快危险，而不清楚没有意识加速度快也是危险的。超速是危险的，这是共识，而加速度快带来的超车快=安全是一部分人的共识,0,2025-10-16 16:12:23,支持
千千静听音乐,UP赶紧注册新号吧，马上号没了！,0,2025-10-16 15:45:35,支持
某某鑫灬,领克 10EMP 推荐吗,0,2025-10-16 15:41:10,中立
昵称只是装饰-,刚才看见一条弹幕说电池弹出技术的好处，那二百公里电池弹出和直接扔出去一个c4有什么区别？,0,2025-10-16 15:05:51,支持
凡眼观天下,电池倒置，门锁，这两个设计都有问题，有钱的车主抓紧换车，没钱换车的老实开80以下。,0,2025-10-16 14:54:50,支持
将将将将う,车祸人的问题，人死车的问题,0,2025-10-16 14:52:50,支持
Ryuzaki兹拉坦,我会临死前给自己点根烟享受最后的时光,0,2025-10-16 14:34:15,支持
reodoc,没祸害别人算不错了,0,2025-10-16 14:22:09,支持
凯哥死库水,我看着是越过绿化带，底盘刮到了，应该是刮到电池了吧，和撞击关系不大,0,2025-10-16 13:51:04,反对
零落山川丶Skiper,总结了米系产品诞生的过程：“借鉴”行业优秀案例——微改外观看起来高端——简化内部设计或材料节约成本——找“价优”代工厂生产组装——创新名词大力宣传“亮点”（同时小字规避法律风险）——公布价格“性价比高”直接卖爆。[doge][doge],0,2025-10-16 13:33:53,支持
簌素颜霜,“逼yd”的老总起码也是一直强调然后实战表现出来也的确可以，“长虫”别的不说安全这个方面做得的确不错的，“奇葩”表现的也可以。这些老品牌可能小毛有时候的确多但是大方向对于安全冗余的确做得不错。（为了避免某些极端粉丝喷我说的这几个品牌都应该能看懂吧？）,0,2025-10-16 13:26:16,支持
深红橙汁儿,没有无辜的路人伤亡已经谢天谢地了,0,2025-10-16 13:18:40,支持
蓝皮青蛙公子,雷总的东西只是个放大器,0,2025-10-16 13:08:13,支持
zoomXC,有些标准就是人命堆砌来的。明白了。这下我明白了。诶。,0,2025-10-16 13:05:57,支持
嗦尼罪恶滔天,第一步：人的问题路的问题绿化带问题积水的问题。 第二步：华为也这样 第三步：我们被友商黑惨了 第四步：累了憔悴了，忘了是谁的恩情让你们人人有手机用了吗？,0,2025-10-16 13:05:14,支持
亘古的记忆,这种开门是微动非机械的电车多吗 半数？,0,2025-10-16 13:00:42,中立
躺在地上装死,还好我的是北汽。外面是普通，里面是机械,0,2025-10-16 12:59:41,支持
胸无大志天地宽,自从小米出来，特斯拉事故都少了。,0,2025-10-16 12:59:22,支持
改名字得消耗6枚硬币,这不是人的问题吗？https://b23.tv/BV1JQ4vzUE4z 。救出来了，可能，，，,0,2025-10-16 12:58:30,支持
帝皇铠甲鬼笛,我60打不开车门就是正常 你200打不开车门就是车不好 花门,0,2025-10-16 12:55:19,反对
戏0如此完美,不要说电车了，油车跑这么快撞了，门也打不开。变形太严重，什么车都打不开,0,2025-10-16 12:55:23,反对
媛媛爱吃汤圆呀,不懂就问，发生碰撞之后车子能自动解锁吗[笑哭],0,2025-10-16 12:51:21,支持
默然与军书,他说话都一惊一乍的吗,0,2025-10-16 12:38:04,支持
痴魅望良,别说一千匹马力，我开190多马力的艾8，踩地板油，听着发动机的咆哮，心脏都咚咚的跳。那种感觉肾上腺素分泌的感觉太刺激了。,0,2025-10-16 12:26:58,支持
jnxnjxjxj,有理有据可以,0,2025-10-16 12:19:17,中立
自由如风IV,那那些没有门把手的呢？,0,2025-10-16 11:58:34,支持
果冻猪猪恶霸,这些人都是先驱者，致敬🫡,0,2025-10-16 12:00:08,反对
JeremyLau_,我的问题[委屈][委屈][委屈],0,2025-10-16 11:57:17,支持
LONG老板的小跟班,开车十来年了。我都不知道有应急开关。,0,2025-10-16 11:54:43,中立
是鳕鱼老师,出现事故，是人的问题。 但目前视频里来看致死，车恐怕有点需要考虑,0,2025-10-16 11:52:04,支持
空独有偶,还有一点电车完全比不了油车的东西 那就是经典,0,2025-10-16 11:50:33,支持
骨頭YE,遇到过,0,2025-10-16 11:49:15,中立
奥利安娜的魔偶,其实对我来说不用太区分人的问题和车的问题，很多乱开车的人喜欢选择这个牌子，那你见了不用管人还是车，避着点就行了,0,2025-10-16 11:43:26,支持
评论区の赛博高人,不喜欢电车，没有发动机咆哮的爽感,0,2025-10-16 11:40:06,中立
暮雨朝云几日归,据说现在全新的a5l好像出事了会弹出一个红色拉杆防止把手无法正常使用，具体我不清楚，但是感觉有这个功能还是不错的,0,2025-10-16 11:35:08,支持
V咁大滋V,看来1500多匹马力就是摆设,0,2025-10-16 11:29:40,中立
野原新の莇,好好的电车怎么就起火了呢！没开过电车不太懂这个解释下,0,2025-10-16 11:20:17,支持
YOU鬼迷日眼,买保险都送代驾的,0,2025-10-16 11:16:26,支持
王小皮R,一人一句小米市区[汤圆],0,2025-10-16 11:16:22,支持
YOU鬼迷日眼,十几亿人，管不了，没事,0,2025-10-16 11:13:20,反对
忍忍忍,那已经生产的这么多小米汽车咋办呢？不敢想,0,2025-10-16 11:12:29,支持
军子爱财-取之有盗,电子门断电打不开,0,2025-10-16 11:11:36,反对
Dikeyt-twth,老有米粉目测时速，他是把你撞出去了这么笃定？,0,2025-10-16 11:07:24,中立
多多i丢丢,好好开车屁事没有,0,2025-10-16 11:03:06,支持
轩野丶,我的电车内部把手是机械的,0,2025-10-16 10:40:26,支持
温酒待得佳人归,它这个电池倒置的技术是把整个电池倒置，也就是说它的电极也在下方，而并不是只有泄压阀在下方。这就导致电极这种最脆弱的点暴露在底盘下面，如果底盘发生擦碰这种事情，就很容易导致电池直接泄压。成都这个事情，它的车身感觉没有怎么受损， ABC柱我看着都完好的，但是我看救人者那个视频底下写了，他是从一边经过了中间的绿化带到了另外一边那，很有可能就是底盘在绿化带上受到了磕碰，然后爆燃起火。,0,2025-10-16 10:24:38,支持
继续增肥40斤,双向奔赴属于是,0,2025-10-16 10:16:14,中立
tormmylove,点开超哥视频前我都会先降低音量。,0,2025-10-16 10:08:26,中立
官方审核通过,有大聪明 发明了 电池弹射功能,0,2025-10-16 09:57:08,反对
官方审核通过,作死,0,2025-10-16 09:52:53,中立
山万云起之望,电车都是安卓车[吃瓜],0,2025-10-16 09:49:23,中立
846660461,我建议全体新能源车主在车内触手可及位置自备一台手持充电砂轮机，应急必需,0,2025-10-16 09:39:10,中立
账号已注销,我还是安心骑我的单车吧！,0,2025-10-16 09:40:09,支持
屿鹿孤战群狼,号养成了[doge]【小米su7对撞；隐藏门把手不可怕，电控开门才致命-哔哩哔哩】 https://b23.tv/2IDaY1i,0,2025-10-16 09:26:03,反对
再也不说su7没性价比了,我看有人说车门自动解锁的事，事实上微动开关车门，就是你自动解锁了，电源被破坏也打不开[捂眼],0,2025-10-16 09:25:19,反对
泡泡浴仙人,当然是人的问题，不过卖的时候市场营销本来不就是锚定的他们这些鬼火用户吗，只能说买家卖家翠花酸菜配大鹅，绝配[doge_金箍],0,2025-10-16 09:20:37,支持
黑发不怪,双层夹胶玻璃那些破窗神器都整不开,0,2025-10-16 08:48:34,中立
呆木鸡呆,10年，20年，50年之后回头看现在的电车红利时代，怎么看小米等等“新势力”,0,2025-10-16 08:49:33,支持
ZJK0315,200多的马力的电动车，深踩一下身体都有反应[笑哭]这车的弹射模式的第一下，感觉身上的血直接从前面全跑到背上了，买回来真不敢没事就来一脚,0,2025-10-16 08:45:08,支持
杨大咩喵喵叫,我都不敢想，那个酒驾撞死八个人的车要是小米，网络舆论会是什么样？真的有必要这样吗？[笑哭],0,2025-10-16 08:32:13,支持
兔兔扶老奶奶闯红灯,要我说 安全是个der的豪华，安全是能出厂的底线,0,2025-10-16 08:21:34,中立
暗契,之前有拆解视频说他们车把手用的是微动开关来着，大部分塑料件用的卡扣和双面胶,0,2025-10-16 08:20:54,支持
可安静好,车速最多199.99,0,2025-10-16 08:17:26,中立
经常掺水的嗝屁猫,门把手一定要能打开门,0,2025-10-16 07:57:09,反对
时间刺客o,机械的也有打不开的吧，我记得之前有个雷克萨斯lm也打不开,0,2025-10-16 07:51:44,支持
KN1GHTY3N,小米这是帮助社会淘汰坏种 是好事啊,0,2025-10-16 07:45:29,支持
小尹梓,哎,0,2025-10-16 07:43:51,中立
宇神雨神,酒驾加超速，人有70%也就是主要责任，发生事故后车门打不开，车企有30%次要责任，应该整改和赔偿部分，个人觉得,0,2025-10-16 07:30:52,反对
--冰河--,车肯定有问题，不然yu7门把手就不会改设计了,0,2025-10-16 07:12:52,支持
schyhc10,别管酒驾不酒驾，如果是被酒驾的撞了，打不开车门呢？打不开的车门，堵住了生命的希望。,0,2025-10-16 06:31:42,支持
异色瞳的泪滴,主要现在的车 内部机械解锁的位置都不一样 不管谁家车玻璃砸碎都找不到应急的机械扳手 不像低端的老油车 新出的车只要这玩意不统一 一旦着火都难救 呼吁一下别为了美观把这个隐藏了 做到统一化 才好救援,0,2025-10-16 06:19:46,支持
bili_362745320,我用火砖砸过侧挡风玻璃，火砖烂了，玻璃没碎，就普通面包车的玻璃,0,2025-10-16 06:12:43,支持
永岸之光,高速撞击电池燃烧的概率会大大提高。不知道现在车企有没有超一百公里每小时撞击完全不会起火的测试，现在好像是65以下吧,0,2025-10-16 05:52:01,支持
猫不说人话,我也觉得安全最重要，看上豹五，主要是门把手，作为一个很喜欢电车的人来说我觉得这车真的目前我看到的觉得最安全的车了，小米那种半幅式门把手如果能加上物理的一起这个设计我是觉得不错的，只有微动的和伸缩的我是真的怕死[笑哭],0,2025-10-16 05:39:40,支持
头发跟SAN值一样少,酒驾没害别人自己挂了也就挂了，就怕那种酒驾开豪车，害人自己还没事的[怪我咯],0,2025-10-16 04:25:34,支持
0I无I心I0,我觉得吧，安全方案不是没有，也不是难做，而是他们不愿意做，比如说，车门完全可以在判断出现严重安全事故后立即弹开，如果怕驾驶人员被甩出去，那就做成，在没有剧烈抖动后弹开，别跟我说很难，比如说判断是否是发生撞击还是被砸车，电车都是带有视觉，速度，撞击传感器的，要判断这个很简单，再配合一个陀螺仪，监测运动是否停止，至于车门变形，甚至可以做成两段式车门，车门在必要时可以解体【这个可能有点难度】再或者在每个车门里全部内置小电池，平时开关门主电池供电，小电池一直处在待机状态，这都是办法。。。,0,2025-10-16 03:31:18,反对
我是靖哥哥丫,就和当初智能手机发展时期一样，各家品牌手机是各种类型充电口是眼花缭乱，充电器得专机专用，国家早就该管了，,0,2025-10-16 02:54:59,支持
菜黄兔,这个测试不是很简单吗用现成的车做个断电测试看看不就知道了吗,0,2025-10-16 02:34:48,支持
